method,data,,ACC,AUROC,AUPRC,total_cost,long_cost,aux_cost,cw,acw
ACTOR_baseline_all,cheears,,0.6573378839590444,0.6238497495651245,0.5202774405479431,46.308872,12.352674,33.95620022753128,0.004,0.004
ACTOR_baseline_all,cheears,,0.6812286689419795,0.6772300004959106,0.582329511642456,53.053467,19.09727,33.95620022753128,0.003,0.003
ACTOR_baseline_all,cheears,,0.7208759954493743,0.7378352880477905,0.6501656770706177,64.901596,30.945393,33.95620022753128,0.0015,0.0015
ACTOR_baseline_all,cheears,,0.7272468714448237,0.7560204267501831,0.6622955799102783,71.44141,37.48521,33.95620022753128,0.001,0.001
ACTOR_baseline_all,cheears,,0.7090443686006825,0.7280464172363281,0.6393270492553711,68.25995,34.303753,33.95620022753128,0.0008,0.0008


ACTOR_baseline_none,cheears,,0.6412400455062571,0.6398332715034485,0.5364410877227783,11.969852,11.969852,0.0,0.004,0.004

ACTOR_baseline_none,cheears,,0.6908987485779294,0.7032930850982666,0.6084820032119751,24.944254,24.944254,0.0,0.002,0.002

ACTOR_baseline_none,cheears,,0.7256541524459613,0.7444058656692505,0.6582955121994019,34.937428,34.937428,0.0,0.001,0.001
ACTOR_baseline_none,cheears,,0.7427189988623436,0.7793130278587341,0.6915497779846191,47.549488,47.549488,0.0,0.0008,0.0008

ACTOR,cheears,,0.6626848691695109,0.6792774200439453,0.5767714381217957,16.081343,15.081343,1.0,0.003,0.003
ACTOR,cheears,,0.7114334470989762,0.7234616279602051,0.6311761140823364,29.47042,26.47042,3.0,0.002,0.002
ACTOR,cheears,,0.7292946530147896,0.7539469003677368,0.6637091040611267,35.478386,31.478384,4.0,0.0015,0.0015

ACTOR,cheears,,0.7389078498293515,0.7722252607345581,0.684760570526123,46.176907,39.176907,7.0,0.0008,0.0008






