method,data,,ACC,AUROC,AUPRC,total_cost,long_cost,aux_cost,cw,acw

ACTOR_joint,cheears,,0.596075085324232,0.5464995503425598,0.4080718159675598,0.34414107,0.34414107,0.0,0.005,0.005
ACTOR_joint,cheears,,0.6364050056882822,0.530273973941803,0.4260706901550293,1.0312855,1.0312855,0.0,0.004,0.004
ACTOR_joint,cheears,,0.6141638225255973,0.5313248038291931,0.42373451590538025,2.284414,1.284414,1.0,0.003,0.003
ACTOR_joint,cheears,,0.6399317406143344,0.511935293674469,0.4247071146965027,3.4112628,1.4112628,2.0,0.002,0.002
ACTOR_joint,cheears,,0.652844141069397,0.6553434133529663,0.5302050113677979,12.096132,9.096132,3.0,0.0015,0.0015
ACTOR_joint,cheears,,0.6857792946530148,0.7193200588226318,0.6109740138053894,24.945393,16.989193,7.956200227531285,0.001,0.001
ACTOR_joint,cheears,,0.7312855517633675,0.7721166610717773,0.6758366227149963,41.695675,32.739475,8.956200227531285,0.0005,0.0005

ACTOR_joint_bernoulli,cheears,,0.6331058020477816,0.5188965797424316,0.4021542966365814,0.8407281,0.8407281,0.0,0.004,0.004
ACTOR_joint_bernoulli,cheears,,0.6419226393629124,0.5098968744277954,0.3927098214626312,1.7650739,1.7650739,0.0,0.003,0.003
ACTOR_joint_bernoulli,cheears,,0.6562571103526735,0.5904266834259033,0.4745229482650757,8.094425,7.0944257,1.0,0.002,0.002
ACTOR_joint_bernoulli,cheears,,0.68839590443686,0.6534786224365234,0.5260143280029297,12.860068,10.860068,2.0,0.0015,0.0015
ACTOR_joint_bernoulli,cheears,,0.7267349260523321,0.7257579565048218,0.5925123691558838,29.17406,25.17406,4.0,0.001,0.001
ACTOR_joint_bernoulli,cheears,,0.7180887372013652,0.7070598006248474,0.5690873265266418,27.390785,23.390785,4.0,0.0008,0.0008

ACTOR_bernoulli,cheears,,0.6579635949943117,0.5615421533584595,0.47015315294265747,4.688282,4.688282,0.0,0.004,0.004
ACTOR_bernoulli,cheears,,0.7113196814562003,0.7160657048225403,0.6196470260620117,21.1314,20.1314,1.0,0.003,0.003
ACTOR_bernoulli,cheears,,0.6927758816837315,0.707557201385498,0.6045510768890381,25.341297,22.341297,3.0,0.002,0.002
ACTOR_bernoulli,cheears,,0.7361205915813425,0.7651675939559937,0.665188729763031,35.292377,32.292377,3.0,0.0015,0.0015
ACTOR_bernoulli,cheears,,0.7420364050056882,0.7716851830482483,0.6719499826431274,45.303185,39.346985,5.956200227531285,0.001,0.001
ACTOR_bernoulli,cheears,,0.739419795221843,0.7728797197341919,0.6739488840103149,56.675198,49.718998,6.956200227531285,0.0008,0.0008


ACTOR,cheears,,0.6320819112627987,0.6039060354232788,0.475716233253479,7.218999,6.218999,1.0,0.004,0.004
ACTOR,cheears,,0.6626848691695109,0.6792774200439453,0.5767714381217957,16.081343,15.081343,1.0,0.003,0.003
ACTOR,cheears,,0.7114334470989762,0.7234616279602051,0.6311761140823364,29.47042,26.47042,3.0,0.002,0.002
ACTOR,cheears,,0.7292946530147896,0.7539469003677368,0.6637091040611267,35.478386,31.478384,4.0,0.0015,0.0015
ACTOR,cheears,,0.7281569965870307,0.7622033357620239,0.6693875789642334,37.984642,32.984642,5.0,0.001,0.001
ACTOR,cheears,,0.7389078498293515,0.7722252607345581,0.684760570526123,46.176907,39.176907,7.0,0.0008,0.0008
