method,data,,ACC,AUROC,AUPRC,total_cost,long_cost,aux_cost,cw,acw
warmup,cheears,,0.6320819112627987,0.6039060354232788,0.475716233253479,7.218999,6.218999,1.0,0.004,0.004
warmup,cheears,,0.6626848691695109,0.6792774200439453,0.5767714381217957,16.081343,15.081343,1.0,0.003,0.003
warmup,cheears,,0.7114334470989762,0.7234616279602051,0.6311761140823364,29.47042,26.47042,3.0,0.002,0.002
warmup,cheears,,0.7292946530147896,0.7539469003677368,0.6637091040611267,35.478386,31.478384,4.0,0.0015,0.0015
warmup,cheears,,0.7281569965870307,0.7622033357620239,0.6693875789642334,37.984642,32.984642,5.0,0.001,0.001
warmup,cheears,,0.7389078498293515,0.7722252607345581,0.684760570526123,46.176907,39.176907,7.0,0.0008,0.0008


no_warmup,cheears,,0.6035836177474403,0.5285653471946716,0.40311869978904724,1.3441442,0.34414423,1.0,0.004,0.004
no_warmup,cheears,,0.6204778156996587,0.5222928524017334,0.4049198627471924,1.73322,0.73322,1.0,0.003,0.003
no_warmup,cheears,,0.5984072810011376,0.5349135398864746,0.40433332324028015,3.0000029,1.0000029,2.0,0.002,0.002
no_warmup,cheears,,0.7098976109215017,0.7154929041862488,0.6179673671722412,19.788397,16.788397,3.0,0.0015,0.0015
no_warmup,cheears,,0.7283276450511945,0.7656713724136353,0.6578525304794312,29.976109,25.976109,4.0,0.001,0.001
no_warmup,cheears,,0.7283276450511945,0.7682333588600159,0.668788731098175,34.793514,28.837315,5.956200227531285,0.0008,0.0008
ACTOR_nowarmup,womac,,0.7928079968843308,0.6424525380134583,0.3130912184715271,6.0270805,5.1438103,0.8832700122596344,0.01,0.01
ACTOR_nowarmup,womac,,0.7935220044138648,0.6334028840065002,0.3028598725795746,10.187115,9.303844,0.8832700122596344,0.005,0.005
ACTOR_nowarmup,womac,,0.7938465532909256,0.6513993740081787,0.3246959447860718,19.138403,17.955133,1.183269979382649,0.001,0.001
ACTOR_nowarmup,womac,,0.7922238089056212,0.6528500318527222,0.32337358593940735,24.949007,23.465736,1.483270010970341,0.0005,0.0005
ACTOR_nowarmup,womac,,0.7940412826171621,0.6532623767852783,0.33439144492149353,34.200172,32.41918,1.7809886795385608,0.0001,0.0001
ACTOR_warmup,womac,,0.7907308840711411,0.6267366409301758,0.292394757270813,5.2848334,4.1015635,1.183269979382649,0.01,0.01
ACTOR_warmup,womac,,0.7939114630663378,0.6314622163772583,0.3032892942428589,9.457373,8.274102,1.183269979382649,0.005,0.005
ACTOR_warmup,womac,,0.7928079968843308,0.6476880311965942,0.3202783763408661,16.759697,15.5764265,1.183269979382649,0.001,0.001
ACTOR_warmup,womac,,0.7924834480072699,0.6525084376335144,0.32255738973617554,19.998098,18.814829,1.183269979382649,0.0005,0.0005
ACTOR_warmup,womac,,0.7940412826171621,0.6541134119033813,0.33119314908981323,28.051712,26.868443,1.183269979382649,0.0001,0.0001
ACTOR_joint_nowarmup,womac,,0.7939114630663378,0.6222423315048218,0.30687493085861206,1.4673004,0.5840304,0.8832699864737636,0.01,0.01
ACTOR_joint_nowarmup,womac,,0.7939114630663378,0.611251711845398,0.2818668782711029,2.56278,1.0849599,1.477820080143518,0.005,0.005
ACTOR_joint_nowarmup,womac,,0.7948201999221083,0.6553764939308167,0.3424186408519745,10.6557255,8.880187,1.7755387583814395,0.001,0.001
ACTOR_joint_nowarmup,womac,,0.7944956510450474,0.661231279373169,0.35127365589141846,14.603084,12.531474,2.0716096453390698,0.0005,0.0005
